5s9l__1__1.A__1.H_1.I, 1_H
8e9e__1__1.A_1.B__1.I_1.J_1.K, 1_K
8e9r__1__1.A_1.B__1.E_1.F, 1_F
8egf__1__1.A__1.B_1.C, 1_B
8eh0__1__1.A__1.C_1.E, 1_C
8eip__1__1.C__1.K_1.L, 1_K
8evz__1__1.A__1.D_1.E_1.F_1.G, 1_F
8f4s__1__1.A__1.D_1.E, 1_D
8f5w__1__1.A_1.B__1.S_1.T, 1_T
8f71__1__1.B__1.E_1.F, 1_E
8f73__1__1.A__1.I_1.K, 1_I
8fdb__1__1.A_1.B__1.D_1.F_1.H, 1_H
8fen__1__1.A__1.B_1.C, 1_B
8fgc__1__1.A_1.B__1.H_1.I_1.J, 1_J
8fgd__1__1.A_2.A__2.B_2.C_2.D, 2_D
8fge__1__1.A_2.A__2.B_2.C_2.D, 2_D
8fgf__1__1.A_1.B__1.C_1.D_1.E, 1_E
8fgg__1__1.A_1.B__1.I_1.J_1.K, 1_K
8fgi__1__1.A_1.B__1.I_1.J_1.K, 1_K
8fgn__1__1.A_1.B__1.E_1.F_1.G, 1_G
8fgo__1__1.A_1.B__1.Q_1.R_1.S_1.V, 1_S
8fgp__1__1.A_1.B__1.E_1.F_1.G, 1_G
8fgs__1__1.A_1.B__1.E_1.F_1.G, 1_G
8fgt__1__1.A_1.B__1.E_1.F_1.H, 1_H
8fgu__1__1.A_1.B__1.O_1.P_1.Q, 1_Q
8fgv__1__1.A_1.B__1.C_1.D_1.I, 1_D
8fh5__1__1.A__1.B_1.C, 1_B
8fh7__1__1.A__1.B_1.C, 1_B
8fh9__1__1.A__1.B_1.C, 1_B
8fjt__1__1.A_1.B__1.C_1.E, 1_E
8fju__1__1.A_1.B__1.C_1.D, 1_D
8fjx__1__1.A__1.B_1.C, 1_B
8fkb__1__1.A__1.F_1.G, 1_F
8fp5__1__1.A__1.C_1.D, 1_C
8fsi__1__1.A__1.B_1.C_1.D_1.F, 1_C
8ftm__1__1.A__1.E_1.F, 1_E
8fts__1__2.A__2.B_2.C_2.D, 2_C
8gb4__1__1.A__1.E_1.F_1.G, 1_G
8gja__1__1.A_1.B__1.G_1.H, 1_G
8gjb__1__1.B__1.G_1.H, 1_G
8gpc__1__1.A__1.C_1.D_1.E, 1_E
8gpd__1__1.A__1.C_1.D_1.E, 1_E
8gpe__1__1.A__1.C_1.D_1.E, 1_E
8grw__1__1.A_1.B__1.C_1.D, 1_D
8gyj__1__1.A_1.B__1.D_1.I, 1_I
8h17__1__1.A__1.B_1.C, 1_B
8h5y__1__1.A__1.D_1.E, 1_D
8hcd__1__1.A__1.E_1.F_1.G, 1_F
8he2__1__1.A__1.B_1.C, 1_B
8hfh__1__1.A__1.B_1.C, 1_B
8hfn__1__1.A__1.C_1.D, 1_C
8hjg__1__1.A__1.E_1.F, 1_E
8hkd__1__1.A__1.C_1.D_1.E, 1_D
8hko__1__1.A__1.D_1.E_1.G_1.H, 1_H
8hnz__1__1.A__1.B_1.D_1.E, 1_E
8ho6__1__1.A__1.B_1.C, 1_B
8hrv__1__1.A_1.B_1.C__1.E_1.H, 1_H
8hx4__1__2.A__2.B_2.C_2.D, 2_C
8hxu__1__1.A__1.C_1.D_1.E, 1_E
8hy6__1__1.A__1.C_1.D_1.E, 1_E
8hyk__1__1.A__1.B_1.C, 1_B
8iag__1__3.A__3.C_3.D_3.E_3.G, 3_E
8im2__1__1.E__1.S_1.T_1.U, 1_T
8ina__1__1.A__1.B_1.C, 1_B
8inv__1__1.A__1.B_1.C_1.D, 1_D
8iqd__1__1.A__1.E_1.G_1.H, 1_H
8ivg__1__1.A__1.B_1.C, 1_B
8j1g__1__1.B__1.H_1.I, 1_H
8j83__1__1.B__1.N_1.Q, 1_N
8jb3__1__1.A__1.C_1.D_1.E_1.F, 1_D
8jc5__1__1.A__1.E_1.F, 1_E
8jdb__1__1.A__1.B_1.C, 1_B
8jdg__1__1.A__1.B_1.C, 1_B
8jdn__1__1.A__1.B_1.C, 1_B
8jdp__1__1.A__1.B_1.C, 1_B
8jdq__1__1.A__1.B_1.C, 1_B
8jdr__1__1.A__1.B_1.C, 1_B
8jjn__1__1.A__1.D_1.E, 1_D
8jjs__1__1.A__1.C_1.D, 1_C
8jk8__1__1.A__1.B_1.C_1.D, 1_D
8jk9__1__1.A__1.C_1.D_1.E_1.F, 1_E
8jmr__1__1.A_1.B__1.C_1.D, 1_D
8jnp__1__1.A__1.B_1.C, 1_B
8jnq__1__1.A__1.B_1.C, 1_B
8jpz__1__1.B__1.N_1.P, 1_N
8juv__1__1.A__1.B_1.C, 1_B
8k9y__1__1.A__1.C_1.E, 1_C
8ke2__1__2.A__2.B_2.C_2.D_2.E, 2_D
8odp__1__1.A_1.B__1.I_1.J_1.K_1.L, 1_K
8ofm__1__1.B__1.HA_1.V, 1_V
8oha__1__1.B_1.C__1.EA_1.GA, 1_GA
8oo5__1__1.A__1.B_1.D_1.E, 1_B
8oq2__1__1.B__1.H_1.I, 1_H
8oqt__1__1.D__1.KA_1.LA, 1_LA
8ot8__1__1.C__1.I_1.J, 1_I
8ouk__1__1.A__1.B_1.C, 1_B
8oum__1__1.A__1.F_1.G, 1_F
8oun__1__1.A__1.C_1.D, 1_C
8pf8__1__1.B__1.T_1.X, 1_T
8pp9__1__1.A__1.C_1.D_1.H, 1_D
8px9__1__1.A_1.B__1.C_1.D, 1_D
8q18__1__1.A__1.E_1.F_1.G, 1_F
8q59__1__1.A__1.C_1.D_1.E, 1_E
8q9v__1__2.A__2.C_2.D_2.E, 2_D
8qc5__1__1.B__1.E_1.F, 1_E
8qic__1__1.B__1.F_1.J, 1_F
8qmx__1__1.A__1.C_1.D_1.F, 1_D
8qmy__1__1.A__1.D_1.E, 1_D
8qtt__1__1.C__1.D_1.V, 1_D
8qve__1__1.A__1.B_1.D, 1_B
8qyr__1__1.A__1.G_1.H_1.I, 1_H
8r4q__1__1.A__1.M_1.N, 1_M
8r4x__1__1.A__1.J_1.K_1.L_1.P, 1_P
8r99__1__1.A__1.B_1.C, 1_B
8rb6__1__1.A__1.C_1.D, 1_C
8s8x__1__1.A__1.C_1.E_1.F_1.I, 1_I
8sf3__1__1.A__1.B_1.C, 1_B
8sft__1__1.A__1.E_1.F, 1_E
8su1__1__1.A__1.C_1.D_1.E_1.F, 1_F
8szq__1__1.A__1.B_1.C, 1_B
8szs__1__1.A__1.B_1.C, 1_B
8tab__1__1.A__1.E_1.G, 1_E
8tc9__1__1.A__1.E_1.M, 1_E
8ufq__1__1.A_1.B__1.E_1.F_1.K, 1_K
8ufs__1__1.A_1.B__1.O_1.P_1.S_1.T, 1_P
8uft__1__1.A_1.B__1.Q_1.R_1.S_1.T, 1_S
8ui1__1__1.A__1.B_1.C, 1_B
8v2t__1__1.A_3.A_4.A__3.C_4.B, 4_B
8v4j__1__1.A_3.A_4.A__3.C_4.B, 4_B
8v8m__1__1.A__1.F_1.G, 1_F
8vdw__1__1.A__1.C_1.D_1.E_1.F, 1_D
8vf0__1__1.A__1.B_1.C, 1_B
8vh9__1__1.A_1.B__1.C_1.F, 1_F
8vl0__1__1.A__1.B_1.C, 1_B
8vw1__1__1.A__1.B_1.C, 1_B
8w78__1__1.C__1.K_1.L, 1_K
8x35__1__1.A_1.B__1.C_1.D_1.E, 1_E
8x6r__1__1.A__1.G_1.H_1.I, 1_I
8xkf__1__1.A_1.C__1.M_1.S, 1_S
8yhw__1__1.A__1.E_1.F, 1_E
